2021-11-11T09:03:35.501Z [AUDIT] Token created by 'anonymous': tokenId='ba713e70-e939-4689-9aa5-27e3a1c0bd6e', issuer='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', subject='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', expiry=none, refreshable=false
2021-11-11T09:33:51.580Z [AUDIT] Token created by 'jffe@000': tokenId='1ae9e528-5a4d-4e19-81d7-47b36ce5d18a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623831580, refreshable=false
2021-11-11T09:33:51.580Z [AUDIT] Token created by 'jffe@000': tokenId='353437d8-b753-4e75-83a9-88be8d773942', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623831580, refreshable=false
2021-11-11T09:33:51.580Z [AUDIT] Token created by 'jffe@000': tokenId='91414242-7754-4ce0-b679-d168e28eb2f3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623831580, refreshable=false
2021-11-11T09:33:51.581Z [AUDIT] Token created by 'jffe@000': tokenId='d5722997-77be-4016-ac4a-07c035790c44', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623831581, refreshable=false
2021-11-11T09:33:51.582Z [AUDIT] Token created by 'jffe@000': tokenId='56309525-e2d2-4e8b-88a6-af53acbd603a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623831582, refreshable=false
2021-11-11T09:35:53.138Z [AUDIT] Token created by 'jffe@000': tokenId='c2d87fab-35d3-49db-9b9c-6fe718b6a588', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636623953138, refreshable=false
2021-11-11T09:40:53.451Z [AUDIT] Token created by 'jffe@000': tokenId='9fed087b-6398-46f0-be78-8d899366f887', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1636624253451, refreshable=false
2021-11-11T09:40:53.454Z [AUDIT] Token created by 'jffe@000': tokenId='74cc0ff6-1a2b-49a4-9912-6e81a2662838', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1636624253454, refreshable=false
2021-11-11T09:40:53.458Z [AUDIT] Token created by 'jffe@000': tokenId='4a27fd86-3335-4270-bba8-2c76e355c47d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1636624253458, refreshable=false
2021-11-11T09:40:53.463Z [AUDIT] Token created by 'jffe@000': tokenId='70e0cf37-6382-44b1-874d-f97bdeffa1c0', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1636624253462, refreshable=false
2021-11-11T09:43:51.733Z [AUDIT] Token created by 'jffe@000': tokenId='8266461a-b69e-4eca-a3c9-c110f26e34d4', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636624431733, refreshable=false
2021-11-11T09:43:51.733Z [AUDIT] Token created by 'jffe@000': tokenId='24f84c06-df43-42f6-be29-eab54c10e770', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636624431733, refreshable=false
2021-11-11T09:43:51.734Z [AUDIT] Token created by 'jffe@000': tokenId='cd52ba09-85fc-4b43-b716-901a9c10b1a5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636624431734, refreshable=false
2021-11-11T09:43:51.734Z [AUDIT] Token created by 'jffe@000': tokenId='274d5c29-3910-4e0b-a863-d84080fd564f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636624431734, refreshable=false
2021-11-11T09:43:51.735Z [AUDIT] Token created by 'jffe@000': tokenId='c266ee6d-b94a-4673-9716-9dfb0e550d02', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636624431735, refreshable=false
2021-11-11T09:53:51.814Z [AUDIT] Token created by 'jffe@000': tokenId='cfaa19d6-54b5-43ff-a198-4a4a25902280', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625031814, refreshable=false
2021-11-11T09:53:51.814Z [AUDIT] Token created by 'jffe@000': tokenId='8db5adb6-c7c8-4a96-a3ab-18c373f22460', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625031814, refreshable=false
2021-11-11T09:53:51.814Z [AUDIT] Token created by 'jffe@000': tokenId='b13c0794-c1f0-41cd-8eda-282199179f6d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625031814, refreshable=false
2021-11-11T09:53:51.814Z [AUDIT] Token created by 'jffe@000': tokenId='98577142-cee9-45b6-b54e-b9f0d34e73fa', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625031814, refreshable=false
2021-11-11T09:53:51.814Z [AUDIT] Token created by 'jffe@000': tokenId='f5320a0a-3b08-4b9c-8ebe-c688b8ea5c87', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625031814, refreshable=false
2021-11-11T10:03:51.949Z [AUDIT] Token created by 'jffe@000': tokenId='350fd63a-2d25-4347-97e9-c1c8beb01379', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625631949, refreshable=false
2021-11-11T10:03:51.949Z [AUDIT] Token created by 'jffe@000': tokenId='5f7cadee-c60b-4c8a-b420-809dc0c6ea30', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625631949, refreshable=false
2021-11-11T10:03:51.950Z [AUDIT] Token created by 'jffe@000': tokenId='00668209-a5b3-4c34-a6fa-3e4ba323cf85', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625631950, refreshable=false
2021-11-11T10:03:51.950Z [AUDIT] Token created by 'jffe@000': tokenId='7d0deb89-f916-45a5-b8b1-c0425497da23', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625631950, refreshable=false
2021-11-11T10:03:51.949Z [AUDIT] Token created by 'jffe@000': tokenId='1cb9ab59-c3c9-470e-860d-d4b101fd0784', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636625631949, refreshable=false
2021-11-11T10:13:52.049Z [AUDIT] Token created by 'jffe@000': tokenId='8b7b4b94-7802-4a9e-822f-bf750f6089de', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626232049, refreshable=false
2021-11-11T10:13:52.049Z [AUDIT] Token created by 'jffe@000': tokenId='585f790c-4db8-4e9c-9983-4889db9fefac', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626232049, refreshable=false
2021-11-11T10:13:52.050Z [AUDIT] Token created by 'jffe@000': tokenId='15c5f4e4-3553-4583-9844-5045783efdb0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626232050, refreshable=false
2021-11-11T10:13:52.053Z [AUDIT] Token created by 'jffe@000': tokenId='def029fd-c3bc-4008-b726-26b309cceff9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626232053, refreshable=false
2021-11-11T10:13:52.053Z [AUDIT] Token created by 'jffe@000': tokenId='9dcc6e1c-2cd9-4314-bf04-fe2a2e598dea', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626232053, refreshable=false
2021-11-11T10:23:52.140Z [AUDIT] Token created by 'jffe@000': tokenId='5d0d7303-241e-4aee-97f6-6d5d05e00bf9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626832140, refreshable=false
2021-11-11T10:23:52.140Z [AUDIT] Token created by 'jffe@000': tokenId='5d5432cc-6c8f-4b81-b9b5-14ff20c784f1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626832140, refreshable=false
2021-11-11T10:23:52.140Z [AUDIT] Token created by 'jffe@000': tokenId='49036b11-c95f-4e64-bd73-e75733789b60', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626832140, refreshable=false
2021-11-11T10:23:52.142Z [AUDIT] Token created by 'jffe@000': tokenId='30d4549d-1fc5-49ce-8ce2-c5503dac9cf3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626832142, refreshable=false
2021-11-11T10:23:52.140Z [AUDIT] Token created by 'jffe@000': tokenId='8ffbce85-8023-41a4-8f1d-0f791c12572e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636626832140, refreshable=false
2021-11-11T10:33:52.241Z [AUDIT] Token created by 'jffe@000': tokenId='13244a15-bd46-471d-b2f8-19c5ed37b535', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636627432241, refreshable=false
2021-11-11T10:33:52.241Z [AUDIT] Token created by 'jffe@000': tokenId='b2979d3d-7803-45be-ba2a-76c5fcdb9009', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636627432241, refreshable=false
2021-11-11T10:33:52.241Z [AUDIT] Token created by 'jffe@000': tokenId='f9bc1438-e639-448e-8a98-832aebaba281', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636627432241, refreshable=false
2021-11-11T10:33:52.243Z [AUDIT] Token created by 'jffe@000': tokenId='07b907eb-a66c-4cdb-9764-3531be9f04cf', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636627432243, refreshable=false
2021-11-11T10:33:52.244Z [AUDIT] Token created by 'jffe@000': tokenId='8c16176d-e6e0-4bd3-bd6e-bc7ee37121fb', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636627432244, refreshable=false
2021-11-11T10:35:40.384Z [AUDIT] Token created by 'jffe@000': tokenId='07e3d76c-eef0-4b0a-a0c9-0f03a34c26fc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636628740383, refreshable=true
2021-11-11T10:35:40.443Z [AUDIT] Token created by 'jffe@000': tokenId='62842868-947c-4ed4-9676-a7f4cde383d0', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636627540443, refreshable=false
2021-11-11T10:35:40.443Z [AUDIT] Token created by 'jffe@000': tokenId='046dc718-02fa-47b0-8588-ca791d848229', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636627540443, refreshable=false
